amostra,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
1,0.08,0.61,0.80,1.69,2.27,0.15,43.49
2,0.20,0.22,0.94,73.31,22.07,-21.25,43.68
3,0.37,0.30,0.82,191.15,88.40,-186.11,43.54
4,0.00,0.83,0.80,-250.14,9.40,63.85,43.49
5,-0.05,-0.21,1.21,250.13,11.92,-88.79,43.78
6,-0.33,1.06,0.09,68.51,-15.45,8.17,43.78
7,-0.11,-0.64,0.91,-129.50,-16.05,35.77,43.82
8,-0.15,-0.07,1.00,6.69,-1.41,-46.33,43.87
9,0.40,-0.29,1.19,-30.90,34.80,-14.73,43.68
10,-0.22,-0.22,0.83,17.82,17.02,21.52,43.78
11,-0.11,-0.25,0.82,30.98,-27.47,-19.03,43.78
12,0.38,-0.03,1.18,-24.18,2.05,-7.33,43.78
13,-0.11,-0.22,0.85,-24.68,47.36,36.65,43.78
14,-0.19,-0.26,0.84,-96.49,27.34,-3.34,43.64
15,0.29,-0.19,1.08,-171.42,-13.17,47.42,43.68
16,-0.07,-0.36,-0.43,82.52,43.84,-84.52,43.82
17,-0.05,0.23,0.91,250.13,32.44,-50.53,43.64
18,0.41,0.32,1.59,-250.14,-247.14,158.24,43.82
19,-0.03,-0.78,-0.66,-250.14,-128.19,25.70,43.68
20,0.23,-0.48,0.72,250.13,134.23,-130.06,43.97
21,-0.24,0.53,1.08,-53.38,-3.77,-41.31,44.29
22,0.28,-0.54,0.37,-250.14,-250.14,115.66,44.01
23,0.19,-0.75,0.43,250.13,89.01,-250.14,44.06
24,-0.49,0.45,0.93,143.94,72.26,42.48,44.29
25,-0.39,-0.11,1.00,-4.38,-175.75,-32.16,44.29
26,0.70,-0.05,1.52,16.73,-32.04,5.63,44.81
27,0.05,-0.12,0.69,11.43,48.91,41.73,44.48
28,-0.01,-0.37,0.49,-137.98,-45.71,53.32,44.39
29,0.16,-0.74,-1.00,-24.24,23.50,-17.03,44.15
30,0.03,0.05,0.77,212.71,78.34,-97.41,44.01
31,0.27,-0.40,1.24,-250.14,-184.97,68.77,44.29
32,0.65,0.10,0.85,-7.93,9.13,-42.48,44.29
33,0.08,-0.44,1.37,212.04,-129.52,-75.28,44.01
34,0.38,0.29,0.88,25.24,25.65,-6.77,44.29
35,0.39,0.27,0.90,10.78,8.23,-3.12,44.29
36,0.38,0.28,0.90,2.28,2.27,-1.11,44.06
37,0.38,0.29,0.89,1.00,2.15,-0.10,44.15
38,0.37,0.31,0.89,-5.62,2.65,-2.99,44.20